Time,10000_Mean,10000_SD,10000_N,1000_Mean,1000_SD,1000_N,100_Mean,100_SD,100_N
0,100,0,7,100,0,7,100,0,7
20,88.89405,7.260268,7,101.8891,8.608893,7,103.712,4.878779,7
40,81.28075,9.220567,7,95.48042,10.65846,7,103.777,5.696456,7
60,72.18804,8.181176,7,91.99502,11.9931,7,101.419,7.919387,7
80,65.31865,6.208164,7,87.79691,14.8194,7,101.7174,10.73328,7
100,58.52537,7.135026,7,85.26798,17.90334,7,99.98765,13.40839,7
120,53.38566,7.741064,7,79.38961,18.24695,7,98.18717,13.83073,7
140,46.82866,7.116753,7,71.27299,16.19739,7,93.87212,14.10908,7
160,44.64408,6.946488,7,69.03184,16.41331,7,94.94902,12.65922,7
180,39.8337,5.382996,7,67.2434,16.06501,7,91.93496,10.55979,7
200,36.81543,5.398814,7,63.09323,12.67214,7,90.72794,17.47173,6
220,34.58656,6.022603,6,59.46481,12.28453,7,81.18668,22.6589,6
240,32.828,6.257578,6,54.3924,12.78871,7,74.79286,26.39941,6
260,29.4521,5.779323,6,49.52622,15.29236,7,73.21606,29.78449,6
280,28.21763,6.447092,6,52.45498,8.720117,6,85.44638,11.79974,5
300,25.4733,7.062636,6,49.19915,11.49422,6,83.23388,14.14648,5
320,23.54128,5.541654,6,52.63161,6.590736,5,83.37424,13.25206,5
340,21.40186,5.864435,5,53.09066,5.247918,5,80.49202,9.424017,5
360,19.85202,5.530598,5,51.2261,5.879598,5,78.653,8.885544,5
380,20.35017,4.75707,4,48.93884,6.174383,5,75.50947,12.63065,5
400,19.16709,4.165579,4,44.71852,8.643752,5,79.80113,6.091292,4
420,20.64238,2.254562,4,41.90525,9.068616,5,78.30205,8.478604,4
440,19.925,2.526429,4,41.44185,5.979068,5,77.82629,8.973737,3
460,18.71094,2.678987,4,40.22112,4.980388,5,78.26886,9.513386,3